timestamp_sec,detected,x_px,y_px,x_norm,y_norm,pos_x_mm,pos_y_mm,pos_z_mm,local_x_mm,local_y_mm,local_z_mm,calibrated,global_x_mm,global_y_mm,height_mm,frame_x_mm,frame_y_mm
4.084790,1,385,223,0.200730,0.206783,-3.685,-69.323,11.728,38.968,-139.389,-37.740,1,-173.089,-62.587,-15.485,115.293,66.780
4.122826,1,382,225,0.199325,0.209167,-2.340,-66.713,12.232,35.793,-131.117,-34.392,1,-173.987,-61.989,-14.658,114.394,67.379
4.161917,1,381,225,0.198710,0.209224,-1.711,-66.224,12.005,37.202,-133.770,-36.245,1,-174.287,-61.989,-15.572,114.095,67.379
4.202721,1,378,226,0.197135,0.209815,-0.978,-64.620,12.214,35.005,-131.655,-35.913,1,-175.185,-61.689,-15.217,113.196,67.678
4.243660,1,378,225,0.196951,0.208951,-0.996,-64.785,12.206,35.109,-131.529,-35.676,1,-175.185,-61.989,-14.441,113.196,67.379
4.284999,1,377,225,0.196534,0.208901,-1.300,-64.494,12.540,35.301,-131.933,-36.778,1,-175.484,-61.989,-13.193,112.897,67.379
4.326461,1,379,225,0.197904,0.208568,-1.126,-64.678,12.911,37.196,-133.844,-34.052,1,-174.885,-61.989,-9.764,113.496,67.379
4.366156,1,382,224,0.199077,0.207687,-0.900,-64.707,13.299,37.040,-132.935,-34.247,1,-173.987,-62.288,-12.307,114.394,67.079
4.407228,1,385,221,0.200917,0.205414,-0.271,-64.638,14.136,37.483,-131.263,-33.169,1,-173.089,-63.186,-12.115,115.293,66.181
4.818172,1,417,217,0.217309,0.201704,4.961,-63.698,17.716,45.723,-131.898,-21.934,1,-163.506,-64.384,-5.923,124.875,64.983
4.858112,1,417,219,0.217624,0.203597,5.243,-63.346,18.015,43.664,-128.047,-23.289,1,-163.506,-63.785,-7.754,124.875,65.582
4.899366,1,419,219,0.218387,0.202896,4.958,-63.063,18.686,43.594,-130.249,-22.275,1,-162.907,-63.785,-7.474,125.474,65.582
4.940016,1,420,219,0.218773,0.203208,4.988,-63.185,19.228,45.959,-131.249,-19.740,1,-162.608,-63.785,-7.036,125.774,65.582
4.981458,1,420,220,0.218870,0.203891,5.144,-63.863,19.603,45.867,-131.825,-21.861,1,-162.608,-63.486,-7.061,125.774,65.882
5.021707,1,421,219,0.219423,0.203604,5.685,-64.043,20.149,46.244,-130.824,-19.414,1,-162.308,-63.785,-8.862,126.073,65.582
5.063269,1,423,219,0.220345,0.203438,5.911,-63.981,20.363,46.733,-131.176,-20.430,1,-161.709,-63.785,-8.892,126.672,65.582
5.103957,1,424,221,0.220844,0.204885,6.184,-63.672,20.823,46.286,-129.572,-19.924,1,-161.410,-63.186,-8.501,126.972,66.181
5.144720,1,425,220,0.221541,0.204099,6.285,-63.543,20.738,46.614,-131.284,-19.836,1,-161.110,-63.486,-8.670,127.271,65.882
5.185897,1,426,221,0.222021,0.204923,6.500,-63.058,20.824,46.900,-128.590,-17.915,1,-160.811,-63.186,-5.949,127.571,66.181
5.226722,1,428,221,0.222998,0.204701,6.728,-62.942,21.154,47.754,-129.494,-16.660,1,-160.212,-63.186,-6.128,128.170,66.181
5.267968,1,430,223,0.224097,0.206635,7.406,-62.605,21.334,48.701,-129.565,-18.082,1,-159.613,-62.587,-8.046,128.768,66.780
5.308888,1,432,226,0.225422,0.209590,8.374,-62.011,21.218,48.076,-127.690,-19.179,1,-159.014,-61.689,-10.761,129.367,67.678
5.350118,1,429,231,0.223714,0.214793,9.810,-60.614,21.475,44.856,-124.709,-26.161,1,-159.912,-60.192,-22.514,128.469,69.176
5.390501,1,421,241,0.219713,0.223462,12.459,-59.109,22.189,48.759,-126.723,-33.085,1,-162.308,-57.197,-31.358,126.073,72.170
5.431812,1,396,245,0.206319,0.226869,15.587,-58.817,23.526,53.563,-134.799,-29.499,1,-169.795,-55.999,-27.747,118.587,73.368
5.472508,1,351,242,0.183328,0.224524,18.411,-59.759,26.345,52.891,-145.390,-19.487,1,-183.270,-56.898,-25.501,105.111,72.470
5.513496,1,325,256,0.169394,0.237777,19.576,-58.739,30.600,46.801,-130.728,-14.818,1,-191.056,-52.705,-28.013,97.325,76.662
5.554582,1,312,282,0.162756,0.261775,20.169,-53.162,34.133,50.089,-107.064,-5.484,1,-194.949,-44.919,-0.531,93.432,84.448
5.595613,1,260,297,0.135711,0.275317,20.493,-52.823,40.542,73.692,-153.079,6.017,1,-210.521,-40.427,19.178,77.860,88.940
5.637215,1,191,297,0.099636,0.275255,20.601,-55.152,46.155,75.216,-160.545,26.363,1,-231.184,-40.427,28.729,57.197,88.940
5.677966,1,161,315,0.084362,0.292534,20.991,-57.831,51.225,75.897,-141.746,20.756,1,-240.168,-35.037,26.864,48.213,94.330
5.718596,1,134,318,0.069825,0.295326,21.951,-53.443,49.380,69.682,-132.939,2.006,1,-248.254,-34.139,14.823,40.128,95.229
5.759470,1,104,293,0.054559,0.271679,23.126,-50.906,45.662,64.133,-140.935,-18.033,1,-257.237,-41.625,-8.023,31.144,87.742
5.800777,1,32,306,0.017142,0.283982,19.128,-50.904,42.911,36.347,-133.973,-20.269,1,-278.799,-37.732,-18.513,9.583,91.635
5.841531,1,-19,358,-0.010070,0.331607,13.857,-50.494,43.399,26.273,-130.185,-15.461,1,-294.071,-22.160,-32.832,-5.690,107.207
5.883028,1,27,386,0.014457,0.357984,10.724,-47.324,47.494,29.964,-134.568,-4.610,1,-280.296,-13.775,-36.308,8.085,115.592
5.924126,1,50,382,0.026306,0.353872,13.038,-47.735,47.558,38.641,-148.278,-14.010,1,-273.408,-14.973,-45.620,14.973,114.394
5.964461,1,20,389,0.010745,0.360577,14.505,-50.443,44.877,29.096,-151.655,-11.334,1,-282.392,-12.877,-44.725,5.989,116.491
6.046330,1,44,380,0.023383,0.352676,15.296,-53.341,40.002,40.329,-146.902,-23.786,1,-275.205,-15.572,-60.229,13.176,113.795
6.087387,1,-1,353,-0.000630,0.327718,12.648,-55.263,36.227,31.710,-145.629,-39.103,1,-288.681,-23.657,-64.300,-0.299,105.710
6.128679,1,63,350,0.033324,0.324670,14.758,-54.309,32.299,38.220,-127.182,-56.755,1,-269.515,-24.556,-94.718,18.866,104.812
6.169768,1,103,360,0.054002,0.333335,16.381,-52.824,31.151,46.294,-123.301,-41.490,1,-257.537,-21.561,-97.413,30.845,107.806
6.210362,1,105,360,0.054918,0.334224,20.758,-49.962,32.154,53.324,-126.079,-37.098,1,-256.938,-21.561,-102.339,31.443,107.806
6.251412,1,92,349,0.048244,0.323520,21.040,-48.351,34.378,48.075,-119.110,-42.654,1,-260.831,-24.855,-124.485,27.550,104.512
6.292286,1,87,336,0.045374,0.311898,20.121,-48.359,33.832,46.636,-120.309,-45.323,1,-262.328,-28.748,-142.468,26.053,100.619
6.333387,1,86,332,0.044971,0.307412,18.845,-47.246,33.520,45.815,-115.063,-46.362,1,-262.628,-29.946,-153.155,25.754,99.421
6.374290,1,93,323,0.048785,0.299319,19.480,-48.260,36.184,52.447,-118.359,-40.658,1,-260.531,-32.641,-153.237,27.850,96.726
6.416065,1,78,328,0.040982,0.304198,19.807,-47.415,38.730,48.706,-112.551,-43.223,1,-265.023,-31.144,-166.560,23.358,98.223
6.456526,1,20,329,0.010466,0.305288,18.444,-47.982,42.893,34.612,-115.971,-39.564,1,-282.392,-30.845,-175.028,5.989,98.523
6.497396,1,-27,363,-0.014457,0.336412,12.804,-46.596,42.270,24.642,-118.856,-40.783,1,-296.467,-20.663,-189.497,-8.085,108.705
6.538256,0,,,,,,,,,,,1,,,,,
6.579211,0,,,,,,,,,,,1,,,,,
6.620190,0,,,,,,,,,,,1,,,,,
6.661902,0,,,,,,,,,,,1,,,,,
6.703187,0,,,,,,,,,,,1,,,,,
6.743730,0,,,,,,,,,,,1,,,,,
6.784710,0,,,,,,,,,,,1,,,,,
6.825940,0,,,,,,,,,,,1,,,,,
6.866929,0,,,,,,,,,,,1,,,,,
6.908001,0,,,,,,,,,,,1,,,,,
6.949158,0,,,,,,,,,,,1,,,,,
6.990821,0,,,,,,,,,,,1,,,,,
7.031444,0,,,,,,,,,,,1,,,,,
7.072386,0,,,,,,,,,,,1,,,,,
7.112726,0,,,,,,,,,,,1,,,,,
7.154289,0,,,,,,,,,,,1,,,,,
7.194953,0,,,,,,,,,,,1,,,,,
7.236393,0,,,,,,,,,,,1,,,,,
7.277128,0,,,,,,,,,,,1,,,,,
7.318711,0,,,,,,,,,,,1,,,,,
7.359712,0,,,,,,,,,,,1,,,,,
7.400773,0,,,,,,,,,,,1,,,,,
7.441989,0,,,,,,,,,,,1,,,,,
7.482938,0,,,,,,,,,,,1,,,,,
7.523148,0,,,,,,,,,,,1,,,,,
7.564852,0,,,,,,,,,,,1,,,,,
7.605699,0,,,,,,,,,,,1,,,,,
7.646693,0,,,,,,,,,,,1,,,,,
7.688109,0,,,,,,,,,,,1,,,,,
7.729252,0,,,,,,,,,,,1,,,,,
7.771240,0,,,,,,,,,,,1,,,,,
7.811027,0,,,,,,,,,,,1,,,,,
7.852133,0,,,,,,,,,,,1,,,,,
7.893379,0,,,,,,,,,,,1,,,,,
7.934228,0,,,,,,,,,,,1,,,,,
7.976284,0,,,,,,,,,,,1,,,,,
8.017764,0,,,,,,,,,,,1,,,,,
8.057865,0,,,,,,,,,,,1,,,,,
8.099269,0,,,,,,,,,,,1,,,,,
8.139391,0,,,,,,,,,,,1,,,,,
8.180563,0,,,,,,,,,,,1,,,,,
8.221964,0,,,,,,,,,,,1,,,,,
8.263002,0,,,,,,,,,,,1,,,,,
8.304119,0,,,,,,,,,,,1,,,,,
8.344878,0,,,,,,,,,,,1,,,,,
8.385788,0,,,,,,,,,,,1,,,,,
8.426116,0,,,,,,,,,,,1,,,,,
8.468302,0,,,,,,,,,,,1,,,,,
8.509128,0,,,,,,,,,,,1,,,,,
8.550113,0,,,,,,,,,,,1,,,,,
8.591000,0,,,,,,,,,,,1,,,,,
8.632759,0,,,,,,,,,,,1,,,,,
8.673224,0,,,,,,,,,,,1,,,,,
8.714988,0,,,,,,,,,,,1,,,,,
8.756137,0,,,,,,,,,,,1,,,,,
8.838146,0,,,,,,,,,,,1,,,,,
8.878338,0,,,,,,,,,,,1,,,,,
8.919155,0,,,,,,,,,,,1,,,,,
8.959926,0,,,,,,,,,,,1,,,,,
9.001390,0,,,,,,,,,,,1,,,,,
