sample_offset,num_samples,watch_ts_ms
0,1920,1784743643769
1920,1920,1784743643808
3840,1920,1784743643848
5760,1920,1784743643888
7680,1920,1784743643928
9600,1920,1784743643970
11520,1920,1784743644009
13440,1920,1784743644050
15360,1920,1784743644088
17280,1920,1784743644129
19200,1920,1784743644168
21120,1920,1784743644210
23040,1920,1784743644251
24960,1920,1784743644293
26880,1920,1784743644333
28800,1920,1784743644373
30720,1920,1784743644413
32640,1920,1784743644452
34560,1920,1784743644493
36480,1920,1784743644532
38400,1920,1784743644572
40320,1920,1784743644611
42240,1920,1784743644653
44160,1920,1784743644696
46080,1920,1784743644729
48000,1920,1784743644768
49920,1920,1784743644808
51840,1920,1784743644848
53760,1920,1784743644888
55680,1920,1784743644928
57600,1920,1784743644968
59520,1920,1784743645009
61440,1920,1784743645049
63360,1920,1784743645089
65280,1920,1784743645129
67200,1920,1784743645168
69120,1920,1784743645208
71040,1920,1784743645249
72960,1920,1784743645290
74880,1920,1784743645330
76800,1920,1784743645372
78720,1920,1784743645413
80640,1920,1784743645451
82560,1920,1784743645490
84480,1920,1784743645532
86400,1920,1784743645573
88320,1920,1784743645611
90240,1920,1784743645651
92160,1920,1784743645691
94080,1920,1784743645734
96000,1920,1784743645771
97920,1920,1784743645813
99840,1920,1784743645853
101760,1920,1784743645893
103680,1920,1784743645931
105600,1920,1784743645971
107520,1920,1784743646011
109440,1920,1784743646051
111360,1920,1784743646091
113280,1920,1784743646132
115200,1920,1784743646172
117120,1920,1784743646211
119040,1920,1784743646251
120960,1920,1784743646293
122880,1920,1784743646330
124800,1920,1784743646373
126720,1920,1784743646412
128640,1920,1784743646451
130560,1920,1784743646491
132480,1920,1784743646531
134400,1920,1784743646571
136320,1920,1784743646612
138240,1920,1784743646653
140160,1920,1784743646694
142080,1920,1784743646733
144000,1920,1784743646771
145920,1920,1784743646814
147840,1920,1784743646852
149760,1920,1784743646893
151680,1920,1784743646931
153600,1920,1784743646973
155520,1920,1784743647013
157440,1920,1784743647051
159360,1920,1784743647091
161280,1920,1784743647132
163200,1920,1784743647172
165120,1920,1784743647212
167040,1920,1784743647251
168960,1920,1784743647291
170880,1920,1784743647333
172800,1920,1784743647371
174720,1920,1784743647411
176640,1920,1784743647453
178560,1920,1784743647491
180480,1920,1784743647531
182400,1920,1784743647571
184320,1920,1784743647613
186240,1920,1784743647653
188160,1920,1784743647693
190080,1920,1784743647731
192000,1920,1784743647772
193920,1920,1784743647811
195840,1920,1784743647851
197760,1920,1784743647891
199680,1920,1784743647931
201600,1920,1784743647971
203520,1920,1784743648013
205440,1920,1784743648051
207360,1920,1784743648091
209280,1920,1784743648132
211200,1920,1784743648171
213120,1920,1784743648212
215040,1920,1784743648253
216960,1920,1784743648289
218880,1920,1784743648331
220800,1920,1784743648370
222720,1920,1784743648411
224640,1920,1784743648451
226560,1920,1784743648492
228480,1920,1784743648532
230400,1920,1784743648571
232320,1920,1784743648611
234240,1920,1784743648652
236160,1920,1784743648692
238080,1920,1784743648732
240000,1920,1784743648772
241920,1920,1784743648812
243840,1920,1784743648850
245760,1920,1784743648893
247680,1920,1784743648932
249600,1920,1784743648972
251520,1920,1784743649015
253440,1920,1784743649052
255360,1920,1784743649093
257280,1920,1784743649132
259200,1920,1784743649173
261120,1920,1784743649214
263040,1920,1784743649253
264960,1920,1784743649292
266880,1920,1784743649331
268800,1920,1784743649372
270720,1920,1784743649414
272640,1920,1784743649453
274560,1920,1784743649492
276480,1920,1784743649534
278400,1920,1784743649572
280320,1920,1784743649610
282240,1920,1784743649651
284160,1920,1784743649693
286080,1920,1784743649733
288000,1920,1784743649771
289920,1920,1784743649811
291840,1920,1784743649851
293760,1920,1784743649892
295680,1920,1784743649932
297600,1920,1784743649972
299520,1920,1784743650012
301440,1920,1784743650052
303360,1920,1784743650091
305280,1920,1784743650132
307200,1920,1784743650171
309120,1920,1784743650211
311040,1920,1784743650252
312960,1920,1784743650292
314880,1920,1784743650331
316800,1920,1784743650371
318720,1920,1784743650411
320640,1920,1784743650452
322560,1920,1784743650491
324480,1920,1784743650531
326400,1920,1784743650572
328320,1920,1784743650613
330240,1920,1784743650651
332160,1920,1784743650693
334080,1920,1784743650733
336000,1920,1784743650773
337920,1920,1784743650812
339840,1920,1784743650851
341760,1920,1784743650893
343680,1920,1784743650932
345600,1920,1784743650972
347520,1920,1784743651011
349440,1920,1784743651051
351360,1920,1784743651092
353280,1920,1784743651133
355200,1920,1784743651173
357120,1920,1784743651212
359040,1920,1784743651253
360960,1920,1784743651292
362880,1920,1784743651331
364800,1920,1784743651371
366720,1920,1784743651412
368640,1920,1784743651451
370560,1920,1784743651491
372480,1920,1784743651532
374400,1920,1784743651571
376320,1920,1784743651611
378240,1920,1784743651651
380160,1920,1784743651692
382080,1920,1784743651732
384000,1920,1784743651773
385920,1920,1784743651811
387840,1920,1784743651853
389760,1920,1784743651891
391680,1920,1784743651934
393600,1920,1784743651973
395520,1920,1784743652013
397440,1920,1784743652053
399360,1920,1784743652091
401280,1920,1784743652132
403200,1920,1784743652172
405120,1920,1784743652213
407040,1920,1784743652251
408960,1920,1784743652291
410880,1920,1784743652332
412800,1920,1784743652371
414720,1920,1784743652411
416640,1920,1784743652451
