time_aligned,finger,hand_label,detected,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z
0.023474,thumb,Left,1,3.1714,7.6025,-76.8406,-0.113740,0.009313,0.370746,-55.373,-31.303,-10.148
0.023474,index,Left,1,-4.2787,-94.5492,65.5361,0.204291,-0.019917,0.130529,5.437,-47.754,22.976
0.023474,middle,Left,1,5.9108,-33.6514,29.6129,0.063518,-0.018396,0.048912,31.201,-53.575,25.793
0.023474,ring,Left,1,11.9880,-0.8801,14.1384,0.062614,-0.162989,-0.563696,41.149,-43.656,28.163
0.023474,pinky,Left,1,56.4209,16.5922,-3.9265,0.012543,-0.183925,-0.538987,42.767,-20.290,26.243
0.064214,thumb,Left,1,-50.5583,-73.4011,-0.4374,-0.104773,-0.015333,1.106851,-56.288,-31.598,-9.347
0.064214,index,Left,1,16.6172,-8.8097,78.6077,0.311184,-0.035497,0.044567,5.523,-48.212,23.767
0.064214,middle,Left,1,41.5025,-2.7795,84.9824,0.068859,0.022999,0.047910,31.197,-54.655,26.517
0.064214,ring,Left,1,45.6197,1.8678,57.6590,0.102255,-0.036378,-0.218655,41.176,-44.610,28.492
0.064214,pinky,Left,1,55.3233,39.2486,47.9737,0.029610,-0.095463,-0.446932,43.563,-20.936,25.995
0.104905,thumb,Left,1,-128.3112,-82.5155,30.0333,-0.140888,-0.054485,2.821655,-57.424,-32.418,-7.836
0.104905,index,Left,1,42.6942,55.7580,113.9583,0.281727,-0.017100,0.179592,5.481,-49.482,24.360
0.104905,middle,Left,1,57.3181,8.0805,122.7386,0.088520,0.067527,0.102457,31.301,-55.916,27.095
0.104905,ring,Left,1,56.0262,30.0905,84.8174,0.162265,0.022601,-0.256759,41.625,-45.709,28.537
0.104905,pinky,Left,1,34.8902,78.9298,85.9196,0.077812,0.000356,-0.347272,44.819,-21.490,25.843
0.146559,thumb,Left,1,-101.2327,-90.3805,30.7598,-0.096602,-0.053685,3.314826,-58.178,-32.792,-7.509
0.146559,index,Left,1,35.0022,47.9228,48.2959,0.249770,-0.015218,0.068358,5.292,-49.748,24.555
0.146559,middle,Left,1,61.9671,18.7359,89.5398,0.035669,0.093079,0.125825,31.159,-56.779,27.319
0.146559,ring,Left,1,29.9134,-6.7810,92.6623,0.154003,-0.043394,-0.343441,41.792,-46.314,29.455
0.146559,pinky,Left,1,-12.6692,27.0154,78.6506,0.114887,0.020951,-0.116855,45.013,-21.898,26.457
0.228037,thumb,Left,1,-67.5686,-69.0633,16.4392,-0.106720,-0.045552,3.565010,-58.513,-32.897,-6.193
0.228037,index,Left,1,27.8135,41.4959,29.9620,0.184085,-0.010302,0.064864,5.260,-50.379,25.286
0.228037,middle,Left,1,43.6442,13.1038,58.3495,0.039646,0.077903,0.128568,31.125,-57.623,28.134
0.228037,ring,Left,1,11.9711,-9.2890,67.6571,0.162350,-0.060951,-0.289369,42.033,-46.874,30.472
0.228037,pinky,Left,1,-20.3902,12.8686,61.4756,0.110587,0.011979,-0.097442,45.778,-22.781,26.947
0.309565,thumb,Left,1,-33.6863,-60.5943,0.5064,-0.149888,-0.033695,3.410761,-58.769,-33.331,-3.844
0.309565,index,Left,1,20.5676,22.6158,7.4511,0.161741,-0.001151,0.141448,4.935,-51.076,25.858
0.309565,middle,Left,1,27.6155,1.5881,30.9145,0.049555,0.070492,0.130922,31.029,-58.244,29.035
0.309565,ring,Left,1,-3.3324,-20.5012,45.0045,0.148200,-0.074033,-0.305379,42.431,-47.236,31.301
0.309565,pinky,Left,1,-25.2647,-3.9822,39.6116,0.098983,0.027344,-0.035047,46.660,-23.050,27.234
0.351578,thumb,Left,1,-28.3972,-13.5555,-72.4451,-0.212504,-0.036105,3.176629,-58.419,-33.144,-1.775
0.351578,index,Left,1,12.0470,0.3251,8.1909,0.124648,-0.012196,0.072184,4.873,-50.995,26.372
0.351578,middle,Left,1,-3.3381,-31.6152,7.0348,0.084002,0.025496,0.102781,30.897,-57.999,29.691
0.351578,ring,Left,1,-4.2560,-12.5131,2.0430,0.152761,-0.065314,-0.224870,42.447,-47.233,31.579
0.351578,pinky,Left,1,-17.4954,16.1630,16.7891,0.067705,-0.019081,-0.093033,47.203,-23.040,27.500
0.391841,thumb,Left,1,-23.3434,14.5340,-76.1403,-0.218247,-0.106606,1.932284,-58.143,-33.369,-0.532
0.391841,index,Left,1,11.0338,2.0075,-33.1785,0.035256,0.026869,0.283632,4.598,-50.748,25.987
0.391841,middle,Left,1,-10.8827,-26.4072,-54.5579,0.065892,0.041253,0.116462,30.562,-57.300,29.179
0.391841,ring,Left,1,9.8795,17.0912,-49.6172,0.066078,-0.050094,-0.431486,42.484,-47.063,30.708
0.391841,pinky,Left,1,-10.2117,10.4697,-36.0365,0.040669,0.040276,-0.007908,47.116,-22.556,27.113
0.433563,thumb,Left,1,39.5779,-13.9581,-56.9657,-0.107956,-0.112618,1.046334,-57.516,-33.028,-0.701
0.433563,index,Left,1,-12.2861,-32.5453,-38.4697,0.057171,0.037718,0.373548,4.831,-50.122,26.544
0.433563,middle,Left,1,-23.0464,-33.0384,-68.4656,0.103458,0.003089,0.078804,30.471,-56.822,29.490
0.433563,ring,Left,1,8.4686,8.3244,-58.2589,0.048557,-0.042663,-0.225075,42.433,-46.888,30.888
0.433563,pinky,Left,1,-27.7643,-21.9986,-30.1284,0.035493,-0.071386,-0.104624,46.831,-22.608,27.844
0.474273,thumb,Left,1,51.6076,-29.4459,13.8558,-0.124220,-0.083628,0.934873,-57.701,-33.439,-0.114
0.474273,index,Left,1,-4.6697,-2.1090,-17.1042,0.069327,0.045914,0.477248,4.788,-50.731,26.930
0.474273,middle,Left,1,-10.6494,-2.7926,-33.9405,0.134808,0.009064,0.060014,30.619,-57.335,30.022
0.474273,ring,Left,1,-8.3326,12.2204,-24.3771,0.078565,-0.069057,-0.234139,42.939,-47.044,31.604
0.474273,pinky,Left,1,-34.4228,-27.6086,-18.9951,0.064490,-0.097371,-0.066568,47.174,-22.604,28.473
0.556041,thumb,Left,1,56.3767,-40.5157,19.9492,-0.094979,-0.081356,0.737099,-57.229,-33.093,0.104
0.556041,index,Left,1,-6.1620,-8.5115,-2.1248,0.053285,0.033214,0.293612,4.684,-50.366,27.432
0.556041,middle,Left,1,-10.9270,-5.0707,-8.9136,0.125872,-0.011657,0.013031,30.594,-56.841,30.467
0.556041,ring,Left,1,-16.1363,-4.3468,-4.4253,0.072265,-0.068253,-0.135600,42.944,-46.676,32.113
0.556041,pinky,Left,1,-31.9603,-28.4312,-2.2730,0.056417,-0.083982,-0.033408,46.835,-22.596,28.829
0.596100,thumb,Left,1,0.3904,-27.9056,30.6358,-0.125367,-0.117129,0.468916,-57.526,-33.165,0.515
0.596100,index,Left,1,17.7854,15.8485,-0.3028,0.086655,0.055495,0.480535,4.453,-50.328,27.697
0.596100,middle,Left,1,2.9198,8.0395,8.0474,0.106107,0.012965,0.054912,30.523,-56.927,30.765
0.596100,ring,Left,1,-19.3042,-3.2437,12.6928,0.044875,-0.050525,-0.018153,43.102,-46.667,32.615
0.596100,pinky,Left,1,-8.1990,0.5170,-13.3272,0.016082,-0.086016,-0.041165,46.985,-22.499,28.928
