time_aligned,sensor,v1,v2,v3
0.004331,acc,-0.011971,0.098162,9.531317
0.005331,gyro,-0.001222,0.009774,0.001222
0.013331,acc,-0.059855,0.100556,9.560047
0.013331,gyro,0.001222,-0.003665,-0.001222
0.023331,acc,-0.021548,0.114922,9.516952
0.024331,gyro,-0.001222,-0.007330,-0.001222
0.035331,acc,-0.031125,0.047884,9.543288
0.035331,gyro,0.001222,0.006109,0.001222
0.044331,acc,-0.021548,0.069432,9.583989
0.045331,gyro,0.000000,0.007330,0.000000
0.055331,acc,-0.059855,0.055067,9.579201
0.056331,gyro,-0.001222,0.003665,0.000000
0.065331,acc,-0.016759,0.067038,9.524135
0.065331,gyro,0.002443,-0.007330,-0.001222
0.074331,acc,-0.007183,0.083797,9.560047
0.074331,gyro,0.000000,-0.001222,0.000000
0.083331,acc,-0.033519,0.117316,9.574412
0.084331,gyro,0.003665,0.006109,0.001222
0.098331,acc,-0.011971,0.086191,9.502586
0.099331,gyro,0.000000,0.003665,0.000000
0.104331,acc,-0.035913,0.076614,9.564836
0.105331,gyro,0.001222,-0.003665,0.000000
0.113331,acc,-0.021548,0.100556,9.536105
0.114331,gyro,-0.001222,-0.001222,0.000000
0.123331,acc,-0.057461,0.059855,9.562442
0.124331,gyro,0.000000,0.003665,0.000000
0.135331,acc,-0.038307,0.095768,9.569624
0.135331,gyro,0.001222,0.000000,0.001222
0.144331,acc,-0.057461,0.026336,9.588778
0.145331,gyro,0.001222,-0.002443,0.000000
0.156331,acc,-0.038307,0.079009,9.469068
0.157331,gyro,0.000000,0.000000,0.000000
0.165331,acc,-0.035913,0.059855,9.540894
0.166331,gyro,0.000000,0.002443,0.001222
0.175331,acc,-0.009577,0.014365,9.538500
0.175331,gyro,0.001222,0.000000,0.001222
0.185331,acc,-0.007183,0.040701,9.488221
0.185331,gyro,-0.001222,-0.002443,0.000000
0.198331,acc,-0.055067,0.055067,9.572019
0.198331,gyro,0.000000,0.002443,-0.001222
0.205331,acc,0.002394,0.076614,9.493010
0.206331,gyro,0.003665,0.002443,0.000000
0.216331,acc,-0.043096,0.062249,9.536105
0.216331,gyro,0.000000,-0.002443,0.000000
0.224331,acc,-0.047884,0.079009,9.507375
0.225331,gyro,0.000000,-0.003665,0.000000
0.236331,acc,-0.040701,0.064643,9.521740
0.237331,gyro,0.002443,0.002443,0.000000
0.245331,acc,-0.062249,0.057461,9.497798
0.246331,gyro,0.001222,0.004887,0.000000
0.258331,acc,-0.050278,0.071826,9.536105
0.259331,gyro,0.001222,0.001222,0.000000
