time_aligned,finger,hand_label,detected,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z
0.031187,thumb,Left,1,13.2900,11.4862,34.8878,-0.204900,-0.097690,-0.013775,-38.773,-30.314,31.767
0.031187,index,Left,1,-1.3294,22.7038,5.3917,0.066130,-0.035681,-0.106164,12.462,-47.424,32.824
0.031187,middle,Left,1,-10.8096,19.9006,14.6578,0.144229,-0.010801,0.285190,36.449,-58.667,32.243
0.031187,ring,Left,1,-5.5525,27.6371,26.2073,0.123967,-0.027920,0.091752,47.458,-45.796,28.214
0.031187,pinky,Left,1,-20.6179,22.3308,-8.1144,0.178769,-0.046601,0.118049,50.316,-24.005,20.161
0.113828,thumb,Left,1,21.9003,-3.1604,24.8559,-0.153503,-0.095654,0.030909,-39.154,-30.466,31.641
0.113828,index,Left,1,-8.5577,11.3469,-5.5631,0.070461,-0.040038,-0.162831,12.543,-47.261,32.832
0.113828,middle,Left,1,-8.2080,15.6730,-4.5359,0.133009,-0.018137,0.265844,36.343,-58.303,32.549
0.113828,ring,Left,1,3.7891,19.6573,1.9866,0.089661,-0.038200,0.035750,47.248,-45.700,28.211
0.113828,pinky,Left,1,-4.2359,19.8997,-21.1208,0.088351,-0.043560,0.086123,50.467,-23.592,20.100
0.195386,thumb,Left,1,30.2032,-14.7179,9.6374,-0.081371,-0.111608,0.003506,-39.260,-30.249,30.715
0.195386,index,Left,1,-13.2353,-2.9154,-21.8377,0.069263,-0.035656,-0.208345,12.361,-46.424,32.367
0.195386,middle,Left,1,-0.7467,9.1140,-25.9060,0.097823,-0.010024,0.203127,35.600,-57.598,31.925
0.195386,ring,Left,1,12.8714,10.5853,-19.6486,0.037674,-0.027560,-0.007164,46.500,-45.404,27.474
0.195386,pinky,Left,1,6.3750,15.1156,-27.7711,0.004010,-0.003784,0.081418,50.264,-23.174,19.386
0.236006,thumb,Left,1,49.1299,-69.8917,-11.5208,0.037194,-0.202745,0.004603,-39.177,-29.355,29.407
0.236006,index,Left,1,-16.3052,-29.3840,-54.5482,0.057871,-0.048577,-0.616225,11.910,-45.218,31.905
0.236006,middle,Left,1,27.5453,-18.9509,-70.2410,0.065968,0.007595,0.005485,34.366,-56.803,31.232
0.236006,ring,Left,1,50.2605,-18.5019,-53.1138,-0.042750,0.004621,-0.056325,45.339,-45.219,26.571
0.236006,pinky,Left,1,19.1413,1.3653,-30.1275,-0.159536,-0.004540,0.015611,49.862,-22.924,18.795
0.277591,thumb,Left,1,75.1468,-109.2410,-19.6405,0.117349,-0.240018,-0.174309,-39.066,-28.668,27.868
0.277591,index,Left,1,-7.8011,-45.7062,-73.5179,-0.027618,-0.020315,-0.597362,11.435,-44.349,31.654
0.277591,middle,Left,1,40.0723,-23.0064,-92.4975,0.031710,-0.012742,-0.286319,33.541,-56.240,30.747
0.277591,ring,Left,1,53.9320,-27.0351,-59.2267,-0.055033,-0.020922,-0.229119,44.655,-45.096,26.295
0.277591,pinky,Left,1,23.6340,-17.0772,-34.3782,-0.131609,-0.070429,-0.137086,49.384,-22.797,18.601
0.318656,thumb,Left,1,59.7569,-75.2779,-50.0351,0.072014,-0.258755,-0.081306,-38.681,-27.947,27.933
0.318656,index,Left,1,-11.3013,-51.0721,-62.7486,-0.080293,-0.064046,-0.943445,11.351,-43.551,31.559
0.318656,middle,Left,1,17.6776,-17.8379,-82.2099,0.002611,-0.056510,-0.470451,33.366,-55.521,30.372
0.318656,ring,Left,1,33.8005,-20.8033,-43.0863,-0.069923,-0.043599,-0.274867,44.453,-44.847,26.091
0.318656,pinky,Left,1,-1.1027,-26.7226,-31.2069,-0.142917,-0.210669,-0.394504,48.999,-22.345,18.727
0.359382,thumb,Left,1,27.4021,21.1767,-32.3580,0.028238,-0.184160,-0.015341,-38.288,-28.075,28.424
0.359382,index,Left,1,-16.7291,-10.7024,5.1596,-0.074938,-0.073454,-0.861289,11.628,-43.615,31.685
0.359382,middle,Left,1,-20.2736,17.9487,-9.8817,-0.001685,-0.083829,-0.458381,33.713,-55.395,30.265
0.359382,ring,Left,1,-17.3971,1.1256,20.6208,-0.039322,-0.073157,-0.274635,44.684,-44.806,26.338
0.359382,pinky,Left,1,-31.9457,-22.2411,-4.5273,-0.107111,-0.237600,-0.416985,48.904,-22.029,19.004
0.399963,thumb,Left,1,-11.3282,144.5623,-52.3860,-0.136918,-0.163921,0.094767,-37.410,-28.043,30.091
0.399963,index,Left,1,-39.5063,6.6536,31.6893,-0.048321,-0.127210,-1.169420,12.022,-43.265,31.632
0.399963,middle,Left,1,-60.8646,38.9219,7.3630,-0.019862,-0.123886,-0.433987,34.202,-54.628,29.859
0.399963,ring,Left,1,-42.7968,26.8950,18.1914,-0.068724,-0.078679,-0.206613,44.896,-44.302,26.024
0.399963,pinky,Left,1,-38.9636,1.3281,-21.5109,-0.195179,-0.231391,-0.406896,48.664,-21.226,18.691
0.441359,thumb,Left,1,-25.9793,157.1231,7.4110,-0.202448,-0.103065,0.101690,-37.406,-28.819,30.884
0.441359,index,Left,1,-29.7391,18.3805,72.8441,0.023056,-0.140044,-1.081777,12.295,-43.401,32.306
0.441359,middle,Left,1,-63.4667,23.8349,52.3006,0.043386,-0.146958,-0.359538,34.628,-54.318,30.514
0.441359,ring,Left,1,-56.7027,14.7342,47.6691,0.002468,-0.098091,-0.182110,45.150,-44.122,26.752
0.441359,pinky,Left,1,-38.4363,11.4379,4.0089,-0.141100,-0.204901,-0.264924,48.796,-20.965,19.127
0.482655,thumb,Left,1,-22.0724,113.5322,32.5448,-0.188746,-0.060527,0.142329,-37.384,-29.427,30.946
0.482655,index,Left,1,-28.6011,-3.2113,57.6317,0.060351,-0.161073,-1.020945,12.658,-43.055,32.657
0.482655,middle,Left,1,-70.4965,-2.3425,38.4000,0.076423,-0.168289,-0.295994,34.997,-53.565,30.819
0.482655,ring,Left,1,-60.4243,2.5502,27.5791,0.062525,-0.108807,-0.122058,45.297,-43.574,27.115
0.482655,pinky,Left,1,-30.6373,21.6938,0.0996,-0.113338,-0.185068,-0.203938,48.937,-20.479,19.249
0.523091,thumb,Left,1,16.6281,-21.7986,82.1055,-0.029048,0.010360,0.233528,-37.217,-29.590,29.495
0.523091,index,Left,1,-24.3620,-19.2007,50.5270,0.096524,-0.158621,-0.733859,13.086,-42.420,32.915
