time_aligned,sensor,v1,v2,v3
0.009182,acc,-0.316035,0.076614,9.514558
0.010182,gyro,0.001222,0.000000,0.000000
0.020182,acc,-0.347159,0.043096,9.526528
0.020182,gyro,0.002443,-0.001222,0.000000
0.032182,acc,-0.404620,0.076614,9.490616
0.032182,gyro,-0.001222,0.003665,0.000000
0.038182,acc,-0.368707,0.047884,9.545682
0.038182,gyro,0.003665,0.007330,0.000000
0.050182,acc,-0.363919,0.059855,9.435549
0.050182,gyro,-0.002443,0.000000,0.000000
0.060182,acc,-0.409408,0.021548,9.533711
0.060182,gyro,0.002443,-0.003665,0.000000
0.071182,acc,-0.363919,0.093374,9.490616
0.071182,gyro,-0.002443,0.000000,0.000000
0.079182,acc,-0.351948,0.069432,9.562442
0.079182,gyro,0.001222,0.009774,0.000000
0.090182,acc,-0.409408,0.055067,9.512163
0.090182,gyro,0.002443,0.004887,0.000000
0.099182,acc,-0.363919,0.047884,9.495404
0.100182,gyro,-0.002443,-0.004887,0.000000
0.110182,acc,-0.368707,0.083797,9.500193
0.111182,gyro,0.000000,0.000000,0.001222
0.119182,acc,-0.328006,0.059855,9.414001
0.120182,gyro,-0.001222,0.004887,0.000000
0.132182,acc,-0.380678,0.047884,9.543288
0.132182,gyro,0.002443,0.002443,0.000000
0.139182,acc,-0.378284,0.062249,9.516952
0.139182,gyro,0.002443,-0.002443,-0.001222
0.149182,acc,-0.335188,0.052672,9.552865
0.149182,gyro,-0.001222,-0.001222,0.000000
0.158182,acc,-0.335188,0.062249,9.497798
0.158182,gyro,0.002443,0.006109,0.001222
0.171182,acc,-0.390255,0.026336,9.557653
0.171182,gyro,0.000000,0.003665,0.000000
0.178182,acc,-0.339977,0.071826,9.500193
0.178182,gyro,0.000000,0.000000,0.000000
0.190182,acc,-0.450110,0.067038,9.526528
0.191182,gyro,0.001222,-0.002443,0.000000
0.200182,acc,-0.375890,0.083797,9.521740
0.200182,gyro,-0.001222,0.002443,0.001222
0.211182,acc,-0.349553,0.050278,9.459491
0.211182,gyro,0.000000,0.004887,0.000000
0.219182,acc,-0.366313,0.062249,9.526528
0.219182,gyro,-0.001222,0.000000,0.000000
0.231182,acc,-0.330400,0.055067,9.595961
0.231182,gyro,0.000000,0.000000,0.000000
0.240182,acc,-0.390255,0.043096,9.548077
0.241182,gyro,0.000000,0.001222,0.000000
0.250182,acc,-0.387861,0.033519,9.500193
0.251182,gyro,0.000000,0.004887,0.000000
0.261182,acc,-0.378284,0.093374,9.466674
0.261182,gyro,0.000000,0.001222,0.000000
0.270182,acc,-0.363919,0.021548,9.536105
0.270182,gyro,0.002443,-0.002443,-0.001222
0.279182,acc,-0.385466,0.071826,9.478644
0.279182,gyro,-0.001222,0.002443,-0.001222
0.295182,acc,-0.433351,0.100556,9.555259
0.295182,gyro,0.001222,0.004887,0.000000
0.299182,acc,-0.378284,0.059855,9.497798
0.301182,gyro,0.000000,-0.002443,0.001222
0.314182,acc,-0.299275,0.083797,9.502586
0.314182,gyro,0.001222,-0.002443,0.001222
0.320182,acc,-0.344765,0.016759,9.548077
0.320182,gyro,0.001222,0.002443,0.000000
0.332182,acc,-0.395043,0.107739,9.548077
0.332182,gyro,-0.001222,0.004887,0.000000
0.340182,acc,-0.418985,0.052672,9.545682
0.340182,gyro,0.002443,0.001222,0.000000
0.350182,acc,-0.421380,0.088585,9.521740
0.350182,gyro,-0.001222,-0.001222,0.000000
0.360182,acc,-0.351948,0.076614,9.512163
0.361182,gyro,0.002443,0.000000,0.000000
0.371182,acc,-0.385466,0.038307,9.512163
0.372182,gyro,-0.002443,0.004887,0.000000
0.381182,acc,-0.366313,0.045490,9.447520
0.381182,gyro,-0.002443,0.003665,0.000000
0.390182,acc,-0.361524,0.021548,9.471462
0.391182,gyro,0.002443,-0.003665,0.000000
0.400182,acc,-0.378284,0.098162,9.500193
0.401182,gyro,-0.001222,-0.002443,-0.001222
0.412182,acc,-0.399832,0.043096,9.536105
0.412182,gyro,0.001222,0.004887,0.000000
0.420182,acc,-0.330400,0.079009,9.543288
