time_aligned,sensor,v1,v2,v3
0.007760,acc,-0.062249,0.069432,9.536105
0.007760,gyro,0.001222,0.001222,0.000000
0.012760,acc,-0.090980,0.079009,9.593566
0.012760,gyro,0.001222,0.008552,-0.001222
0.023760,acc,-0.062249,0.062249,9.562442
0.024760,gyro,0.002443,0.002443,0.001222
0.033760,acc,-0.043096,0.129287,9.497798
0.034760,gyro,-0.001222,-0.004887,0.000000
0.045760,acc,-0.067038,0.081403,9.519346
0.046760,gyro,0.002443,-0.002443,0.000000
0.052760,acc,-0.050278,0.033519,9.557653
0.053760,gyro,-0.001222,0.003665,0.000000
0.064760,acc,-0.074220,0.028730,9.605537
0.064760,gyro,0.002443,0.002443,0.000000
0.074760,acc,-0.088585,0.102951,9.538500
0.075760,gyro,0.000000,-0.003665,0.000000
0.085760,acc,-0.057461,0.088585,9.569624
0.085760,gyro,0.002443,-0.003665,0.000000
0.092760,acc,-0.050278,0.062249,9.493010
0.093760,gyro,0.000000,0.001222,0.000000
0.106760,acc,-0.141258,0.093374,9.531317
0.106760,gyro,0.001222,0.006109,0.000000
0.114760,acc,-0.057461,0.071826,9.543288
0.115760,gyro,0.002443,0.001222,0.000000
0.123760,acc,-0.105345,0.062249,9.524135
0.124760,gyro,-0.002443,-0.004887,0.000000
0.133760,acc,-0.076614,0.134075,9.543288
0.133760,gyro,0.004887,-0.001222,0.000000
0.146760,acc,-0.093374,0.093374,9.524135
0.147760,gyro,-0.001222,0.003665,0.000000
0.153760,acc,-0.059855,0.098162,9.562442
0.153760,gyro,-0.001222,0.001222,0.000000
0.164760,acc,-0.074220,0.105345,9.516952
0.165760,gyro,0.002443,-0.003665,0.000000
0.174760,acc,-0.086191,0.069432,9.576807
0.175760,gyro,-0.002443,-0.002443,-0.001222
0.186760,acc,-0.071826,0.069432,9.457097
0.186760,gyro,0.002443,0.001222,-0.001222
0.194760,acc,-0.035913,0.052672,9.528923
0.194760,gyro,-0.001222,0.001222,0.000000
0.204760,acc,-0.105345,0.117316,9.588778
0.204760,gyro,0.002443,0.000000,0.000000
0.213760,acc,-0.067038,0.079009,9.528923
0.213760,gyro,-0.001222,0.000000,0.001222
0.227760,acc,-0.076614,0.088585,9.555259
0.227760,gyro,0.000000,0.000000,0.000000
0.235760,acc,-0.074220,0.095768,9.500193
0.236760,gyro,0.001222,0.001222,0.000000
0.246760,acc,-0.107739,0.107739,9.574412
0.246760,gyro,-0.001222,0.001222,0.000000
0.254760,acc,-0.093374,0.047884,9.500193
0.254760,gyro,0.000000,0.001222,0.000000
0.268760,acc,-0.047884,0.110133,9.531317
0.268760,gyro,0.001222,-0.002443,0.000000
0.273760,acc,-0.064643,0.148441,9.512163
0.273760,gyro,0.000000,-0.002443,0.001222
0.285760,acc,-0.052672,0.079009,9.581595
0.286760,gyro,-0.003665,-0.001222,0.000000
0.295760,acc,-0.126893,0.057461,9.586384
0.295760,gyro,0.002443,0.002443,0.000000
0.304760,acc,-0.105345,0.083797,9.528923
0.305760,gyro,0.000000,0.002443,0.000000
0.314760,acc,-0.081403,0.088585,9.512163
0.315760,gyro,0.001222,0.001222,0.000000
0.327760,acc,-0.071826,0.090980,9.533711
0.327760,gyro,0.001222,-0.006109,-0.001222
0.335760,acc,-0.057461,0.067038,9.600749
0.335760,gyro,0.001222,-0.001222,0.001222
0.345760,acc,-0.062249,0.071826,9.555259
0.345760,gyro,0.001222,0.002443,0.001222
0.355760,acc,-0.074220,0.095768,9.538500
0.355760,gyro,-0.002443,0.003665,-0.001222
0.366760,acc,-0.076614,0.064643,9.598354
