timestamp_sec,detected,x_px,y_px,x_norm,y_norm,pos_x_mm,pos_y_mm,pos_z_mm,local_x_mm,local_y_mm,local_z_mm,calibrated,global_x_mm,global_y_mm,height_mm,frame_x_mm,frame_y_mm
0.011951,1,387,362,0.201659,0.335188,24.916,-58.605,17.322,76.687,-122.749,-28.925,1,-172.490,-20.962,6.526,115.892,108.405
0.052820,1,384,356,0.200316,0.330472,24.482,-57.967,17.431,73.177,-120.915,-28.943,1,-173.388,-22.759,8.411,114.993,106.608
0.093659,1,383,351,0.199758,0.325297,23.525,-57.068,18.267,72.443,-118.853,-27.940,1,-173.688,-24.256,5.733,114.694,105.111
0.135020,1,381,339,0.198923,0.314171,23.153,-56.351,19.042,71.576,-117.639,-27.906,1,-174.287,-27.850,3.874,114.095,101.517
0.175562,1,370,320,0.193117,0.296602,22.717,-56.185,19.359,69.224,-115.913,-30.466,1,-177.581,-33.540,1.873,110.801,95.828
0.216795,1,353,300,0.184195,0.278300,22.474,-58.244,19.559,74.824,-128.984,-27.797,1,-182.671,-39.529,10.172,105.710,89.838
0.257205,1,322,280,0.167717,0.259826,21.369,-62.076,19.804,78.447,-141.577,-21.715,1,-191.955,-45.518,21.311,96.427,83.849
0.298900,1,294,272,0.153294,0.252232,20.457,-66.495,20.205,83.138,-151.979,-20.252,1,-200.340,-47.914,26.417,88.042,81.454
0.339174,1,280,285,0.146009,0.264616,18.149,-66.785,19.654,71.680,-140.750,-19.457,1,-204.532,-44.021,28.901,83.849,85.347
0.380588,1,298,313,0.155559,0.290417,17.854,-62.679,20.710,72.811,-124.190,-15.697,1,-199.142,-35.636,31.462,89.240,93.731
0.421407,1,328,343,0.170866,0.318413,19.381,-57.107,22.144,81.294,-122.813,-14.321,1,-190.158,-26.652,29.460,98.223,102.715
0.462601,1,345,359,0.180034,0.332637,22.087,-52.540,24.868,79.611,-114.902,-10.868,1,-185.067,-21.861,31.085,103.314,107.507
0.503453,1,366,367,0.190835,0.340034,24.354,-49.778,26.160,78.718,-108.440,-13.204,1,-178.778,-19.465,24.603,109.603,109.902
0.545015,1,392,382,0.204280,0.354041,26.415,-46.560,25.388,85.355,-102.317,-22.290,1,-170.992,-14.973,-1.049,117.389,114.394
0.586184,1,431,402,0.224755,0.373115,30.241,-42.862,23.234,86.445,-93.624,-25.301,1,-159.313,-8.984,-7.428,129.068,120.384
0.627004,1,443,388,0.231174,0.359876,32.556,-40.672,21.020,79.936,-91.243,-29.512,1,-155.720,-13.176,-11.295,132.661,116.191
0.668176,1,449,370,0.233922,0.343361,33.228,-41.077,19.876,79.618,-95.445,-28.966,1,-153.923,-18.567,-10.246,134.458,110.801
0.709849,1,430,345,0.224264,0.319458,32.690,-46.770,19.630,91.986,-116.072,-29.450,1,-159.613,-26.053,-2.942,128.768,103.314
0.751710,1,399,313,0.208191,0.290436,31.432,-52.664,18.070,87.568,-120.563,-24.917,1,-168.896,-35.636,15.292,119.485,93.731
0.791222,1,360,281,0.187932,0.260736,30.007,-58.181,17.275,90.526,-129.034,-30.551,1,-180.575,-45.219,18.184,107.806,84.149
0.831827,1,302,243,0.157317,0.225660,28.207,-62.200,16.342,92.102,-146.142,-33.137,1,-197.944,-56.598,18.170,90.437,72.769
0.872417,1,254,217,0.132321,0.201199,26.695,-65.336,16.585,82.527,-145.173,-32.211,1,-212.318,-64.384,15.843,76.063,64.983
0.914292,1,224,205,0.117158,0.189988,25.015,-67.799,16.048,78.096,-152.224,-32.370,1,-221.302,-67.978,16.690,67.079,61.390
0.955470,1,214,208,0.111941,0.192808,23.784,-67.376,16.971,76.829,-151.334,-25.162,1,-224.297,-67.079,15.961,64.085,62.288
0.995559,1,216,223,0.112898,0.206845,23.102,-66.801,17.675,73.556,-150.338,-22.852,1,-223.698,-62.587,20.026,64.684,66.780
1.036866,1,234,246,0.121926,0.228443,22.721,-65.199,19.923,76.772,-147.439,-12.228,1,-218.307,-55.700,23.582,70.074,73.668
1.078616,1,258,284,0.134534,0.263664,21.966,-63.131,20.010,77.219,-138.618,-10.156,1,-211.120,-44.320,29.351,77.261,85.047
1.120211,1,302,331,0.157608,0.306773,23.005,-59.723,22.393,87.383,-127.430,-8.210,1,-197.944,-30.246,35.720,90.437,99.122
1.161549,1,352,362,0.183377,0.335581,24.129,-55.123,23.752,86.413,-114.775,-6.924,1,-182.971,-20.962,35.248,105.410,108.405
1.202250,1,400,381,0.208785,0.353250,25.696,-50.997,24.721,84.095,-107.578,-18.215,1,-168.597,-15.273,23.584,119.785,114.095
1.243033,1,448,399,0.233505,0.369527,25.972,-46.868,23.930,77.399,-93.293,-18.265,1,-154.223,-9.882,16.360,134.159,119.485
1.283020,1,476,402,0.248152,0.372537,26.057,-43.962,20.705,76.080,-88.803,-20.003,1,-145.838,-8.984,24.094,142.544,120.384
1.405280,1,432,330,0.225480,0.306297,26.850,-46.642,20.879,94.503,-114.551,-11.614,1,-159.014,-30.545,31.622,129.367,98.822
1.447030,1,389,294,0.202680,0.272562,26.730,-52.109,20.345,93.312,-124.936,-11.859,1,-171.891,-41.326,34.620,116.491,88.042
