time_aligned,finger,hand_label,detected,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z
0.009951,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.009951,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.009951,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.009951,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.009951,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.053097,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.053097,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.053097,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.053097,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.053097,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.092352,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.092352,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.092352,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.092352,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.092352,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.136289,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.136289,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.136289,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.136289,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.136289,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.173247,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.173247,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.173247,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.173247,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.173247,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.219459,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.219459,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.219459,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.219459,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.219459,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.255272,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.255272,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
