timestamp_sec,detected,x_px,y_px,x_norm,y_norm,pos_x_mm,pos_y_mm,pos_z_mm,local_x_mm,local_y_mm,local_z_mm,calibrated,global_x_mm,global_y_mm,height_mm,frame_x_mm,frame_y_mm
0.213530,0,,,,,,,,,,,1,,,,,
0.411083,0,,,,,,,,,,,1,,,,,
0.479111,0,,,,,,,,,,,1,,,,,
0.547404,0,,,,,,,,,,,1,,,,,
0.616754,0,,,,,,,,,,,1,,,,,
0.685138,0,,,,,,,,,,,1,,,,,
0.754016,0,,,,,,,,,,,1,,,,,
0.823021,0,,,,,,,,,,,1,,,,,
0.891517,0,,,,,,,,,,,1,,,,,
0.960183,0,,,,,,,,,,,1,,,,,
1.029709,0,,,,,,,,,,,1,,,,,
1.098147,0,,,,,,,,,,,1,,,,,
1.167330,0,,,,,,,,,,,1,,,,,
1.236136,0,,,,,,,,,,,1,,,,,
1.304888,0,,,,,,,,,,,1,,,,,
1.373706,0,,,,,,,,,,,1,,,,,
1.445389,0,,,,,,,,,,,1,,,,,
1.511385,0,,,,,,,,,,,1,,,,,
1.580623,0,,,,,,,,,,,1,,,,,
1.649341,0,,,,,,,,,,,1,,,,,
1.718435,0,,,,,,,,,,,1,,,,,
1.787310,0,,,,,,,,,,,1,,,,,
1.855835,0,,,,,,,,,,,1,,,,,
1.924582,0,,,,,,,,,,,1,,,,,
1.994408,0,,,,,,,,,,,1,,,,,
2.062329,0,,,,,,,,,,,1,,,,,
2.131268,0,,,,,,,,,,,1,,,,,
2.200216,0,,,,,,,,,,,1,,,,,
2.269018,0,,,,,,,,,,,1,,,,,
2.338174,0,,,,,,,,,,,1,,,,,
2.407804,0,,,,,,,,,,,1,,,,,
2.475526,0,,,,,,,,,,,1,,,,,
2.545180,0,,,,,,,,,,,1,,,,,
2.613751,0,,,,,,,,,,,1,,,,,
2.682287,0,,,,,,,,,,,1,,,,,
2.751204,0,,,,,,,,,,,1,,,,,
2.820531,0,,,,,,,,,,,1,,,,,
2.888718,0,,,,,,,,,,,1,,,,,
2.957563,0,,,,,,,,,,,1,,,,,
3.026531,0,,,,,,,,,,,1,,,,,
3.095502,0,,,,,,,,,,,1,,,,,
3.165634,0,,,,,,,,,,,1,,,,,
3.233470,0,,,,,,,,,,,1,,,,,
3.301874,0,,,,,,,,,,,1,,,,,
3.370710,0,,,,,,,,,,,1,,,,,
3.440093,0,,,,,,,,,,,1,,,,,
3.508949,0,,,,,,,,,,,1,,,,,
3.577367,0,,,,,,,,,,,1,,,,,
3.647087,0,,,,,,,,,,,1,,,,,
3.715924,0,,,,,,,,,,,1,,,,,
3.784343,0,,,,,,,,,,,1,,,,,
3.853404,0,,,,,,,,,,,1,,,,,
3.922814,0,,,,,,,,,,,1,,,,,
3.990985,0,,,,,,,,,,,1,,,,,
4.059675,0,,,,,,,,,,,1,,,,,
4.128602,0,,,,,,,,,,,1,,,,,
4.197344,0,,,,,,,,,,,1,,,,,
4.266203,0,,,,,,,,,,,1,,,,,
4.336327,0,,,,,,,,,,,1,,,,,
4.403757,0,,,,,,,,,,,1,,,,,
4.472714,0,,,,,,,,,,,1,,,,,
4.542232,1,755,286,0.590220,0.397693,-48.123,-34.013,-43.575,-117.058,-138.732,-102.427,1,-64.562,-44.912,-205.082,235.478,89.201
4.611040,1,676,291,0.528668,0.405492,-54.508,-35.770,-40.653,-142.525,-165.674,-91.285,1,-89.201,-43.353,-159.275,210.839,90.760
4.679973,1,622,320,0.486434,0.445392,-58.734,-35.757,-39.624,-153.380,-166.577,-100.607,1,-106.043,-34.308,-171.882,193.996,99.805
4.748115,1,599,335,0.468628,0.465417,-65.747,-35.642,-36.969,-160.544,-155.556,-100.057,1,-113.217,-29.630,-175.672,186.823,104.484
4.817269,1,589,342,0.460479,0.475352,-68.608,-34.845,-36.153,-162.116,-160.290,-95.999,1,-116.336,-27.446,-173.171,183.704,106.667
4.886284,1,588,342,0.459835,0.475050,-69.120,-34.759,-35.716,-159.347,-158.657,-98.729,1,-116.647,-27.446,-171.531,183.392,106.667
4.955420,1,588,335,0.460027,0.466456,-68.919,-35.219,-36.377,-158.852,-156.852,-108.746,1,-116.647,-29.630,-169.231,183.392,104.484
5.023934,1,591,330,0.462219,0.459111,-68.713,-35.390,-37.546,-157.708,-160.604,-105.932,1,-115.712,-31.189,-166.831,184.328,102.924
5.092581,1,594,327,0.464785,0.454805,-68.631,-35.617,-38.267,-157.619,-161.644,-104.526,1,-114.776,-32.125,-166.176,185.264,101.988
5.162491,1,603,321,0.471339,0.446435,-68.632,-36.340,-38.484,-153.777,-164.249,-103.543,1,-111.969,-33.996,-168.714,188.071,100.117
5.230969,1,616,315,0.482031,0.437814,-68.408,-36.862,-39.833,-149.269,-164.698,-112.080,1,-107.914,-35.868,-166.152,192.125,98.246
5.299421,1,639,306,0.499765,0.425010,-67.043,-37.748,-40.655,-138.911,-161.132,-100.713,1,-100.741,-38.675,-181.636,199.299,95.439
5.368558,1,677,294,0.529016,0.409110,-63.704,-38.980,-41.758,-126.223,-165.403,-99.990,1,-88.889,-42.417,-184.920,211.150,91.696
5.437613,1,732,281,0.572020,0.391593,-59.663,-41.776,-42.635,-117.468,-179.868,-102.413,1,-71.735,-46.472,-151.905,228.305,87.641
5.506148,1,800,281,0.625311,0.390603,-55.212,-45.117,-45.669,-99.551,-186.899,-114.882,1,-50.526,-46.472,-146.237,249.513,87.641
5.574642,1,856,299,0.668999,0.416199,-51.014,-47.108,-47.924,-84.647,-172.337,-120.370,1,-33.060,-40.858,-165.905,266.979,93.256
5.643904,1,891,323,0.696237,0.449308,-46.623,-46.558,-49.175,-72.320,-156.908,-122.216,1,-22.144,-33.372,-204.763,277.895,100.741
5.713110,1,901,333,0.704195,0.463641,-43.256,-45.081,-46.249,-67.133,-157.180,-104.452,1,-19.025,-30.253,-230.999,281.014,103.860
5.781252,1,894,336,0.698953,0.467311,-41.892,-44.587,-42.694,-69.766,-161.761,-89.387,1,-21.209,-29.318,-231.999,278.831,104.796
5.850419,1,882,332,0.689545,0.461304,-41.862,-45.266,-38.377,-74.406,-165.776,-82.666,1,-24.951,-30.565,-230.275,275.088,103.548
5.919874,1,868,332,0.678151,0.462037,-42.677,-45.402,-38.165,-76.695,-161.346,-92.531,1,-29.318,-30.565,-233.565,270.722,103.548
5.988521,1,852,337,0.665890,0.468257,-44.316,-45.804,-39.506,-83.151,-168.463,-98.348,1,-34.308,-29.006,-237.633,265.731,105.107
6.057340,1,837,339,0.654548,0.471722,-45.735,-45.657,-41.063,-85.676,-163.500,-93.597,1,-38.986,-28.382,-264.129,261.053,105.731
6.125659,1,820,331,0.640818,0.460308,-47.177,-46.159,-40.618,-90.743,-167.880,-90.977,1,-44.289,-30.877,-248.104,255.751,103.236
6.194907,1,802,316,0.626805,0.439788,-48.106,-46.188,-41.481,-95.560,-177.685,-115.626,1,-49.903,-35.556,-219.170,250.137,98.558
6.263514,1,788,304,0.616067,0.423091,-49.729,-46.932,-43.249,-100.111,-183.934,-115.140,1,-54.269,-39.298,-207.002,245.770,94.815
6.332496,1,785,303,0.613298,0.421109,-51.423,-46.975,-46.307,-102.172,-180.704,-121.909,1,-55.205,-39.610,-205.451,244.835,94.503
6.402394,1,789,309,0.616977,0.429552,-52.202,-46.386,-48.396,-100.309,-178.978,-128.965,1,-53.957,-37.739,-202.734,246.082,96.374
6.470611,1,791,314,0.618723,0.436480,-52.316,-45.448,-49.923,-100.812,-177.215,-129.508,1,-53.333,-36.179,-209.406,246.706,97.934
6.539146,1,795,319,0.621534,0.443321,-51.940,-44.821,-51.042,-98.697,-177.946,-126.836,1,-52.086,-34.620,-204.786,247.954,99.493
6.608323,1,798,320,0.623587,0.444717,-51.695,-45.082,-50.655,-97.685,-178.998,-122.416,1,-51.150,-34.308,-218.565,248.889,99.805
6.677091,1,796,319,0.622311,0.443951,-51.262,-45.347,-49.722,-98.118,-179.302,-118.559,1,-51.774,-34.620,-218.463,248.266,99.493
6.745778,1,793,324,0.619745,0.450048,-51.269,-45.327,-48.719,-98.456,-175.532,-120.242,1,-52.710,-33.060,-226.741,247.330,101.053
6.814458,1,791,335,0.618047,0.465815,-51.558,-44.280,-49.200,-98.208,-171.170,-122.527,1,-53.333,-29.630,-228.884,246.706,104.484
6.883780,1,787,350,0.614943,0.486727,-52.124,-42.339,-49.667,-99.588,-167.468,-119.032,1,-54.581,-24.951,-234.301,245.459,109.162
6.956405,1,783,362,0.612383,0.503613,-52.651,-39.699,-50.334,-101.751,-164.391,-120.593,1,-55.829,-21.209,-227.400,244.211,112.905
7.021252,1,780,371,0.610069,0.516325,-53.323,-36.457,-50.425,-102.356,-159.205,-121.896,1,-56.764,-18.402,-228.124,243.275,115.712
7.090351,1,782,372,0.611604,0.517272,-53.640,-33.771,-51.255,-101.339,-157.774,-123.698,1,-56.140,-18.090,-222.236,243.899,116.024
